country,year,avg_temp_c
Coral Sea Islands,2020,
Coral Sea Islands,2021,
Coral Sea Islands,2022,
Coral Sea Islands,2023,
Spratly Islands,2020,
Spratly Islands,2021,
Spratly Islands,2022,
Spratly Islands,2023,
Clipperton Island,2020,
Clipperton Island,2021,
Clipperton Island,2022,
Clipperton Island,2023,
Macao S.A.R,2020,
Macao S.A.R,2021,
Macao S.A.R,2022,
Macao S.A.R,2023,
Ashmore and Cartier Islands,2020,
Ashmore and Cartier Islands,2021,
Ashmore and Cartier Islands,2022,
Ashmore and Cartier Islands,2023,
Bajo Nuevo Bank (Petrel Is.),2020,
Bajo Nuevo Bank (Petrel Is.),2021,
Bajo Nuevo Bank (Petrel Is.),2022,
Bajo Nuevo Bank (Petrel Is.),2023,
Serranilla Bank,2020,
Serranilla Bank,2021,
Serranilla Bank,2022,
Serranilla Bank,2023,
Scarborough Reef,2020,
Scarborough Reef,2021,
Scarborough Reef,2022,
Scarborough Reef,2023,
